feature type = k=10, feature = telephone, log-likelihood score = 3.95124, sense = phone
feature type = k=10, feature = product, log-likelihood score = 1.94591, sense = product
feature type = +1, feature = was, log-likelihood score = 1.8718, sense = phone
feature type = k=10, feature = ibm, log-likelihood score = 1.8718, sense = product
feature type = k=10, feature = 3, log-likelihood score = 1.8718, sense = phone
feature type = k=10, feature = its, log-likelihood score = 1.86478, sense = product
feature type = k=5, feature = its, log-likelihood score = 1.82813, sense = product
feature type = +1, feature = a, log-likelihood score = 1.79176, sense = phone
feature type = -1, feature = gab, log-likelihood score = 1.79176, sense = phone
feature type = -1 & +1, feature = telephone and, log-likelihood score = 1.79176, sense = phone
feature type = k=3, feature = frozen, log-likelihood score = 1.79176, sense = product
feature type = k=3, feature = toll, log-likelihood score = 1.79176, sense = phone
feature type = k=3, feature = ibm, log-likelihood score = 1.79176, sense = product
feature type = k=3, feature = personal, log-likelihood score = 1.79176, sense = product
feature type = k=3, feature = 3, log-likelihood score = 1.79176, sense = phone
feature type = k=3, feature = products, log-likelihood score = 1.79176, sense = product
feature type = k=3, feature = direct, log-likelihood score = 1.79176, sense = phone
feature type = k=5, feature = 000, log-likelihood score = 1.79176, sense = phone
feature type = k=5, feature = selling, log-likelihood score = 1.79176, sense = product
feature type = k=5, feature = got, log-likelihood score = 1.79176, sense = phone
feature type = k=5, feature = toll, log-likelihood score = 1.79176, sense = phone
feature type = k=5, feature = company's, log-likelihood score = 1.79176, sense = product
feature type = k=5, feature = phone, log-likelihood score = 1.79176, sense = phone
feature type = k=5, feature = open, log-likelihood score = 1.79176, sense = phone
feature type = k=5, feature = personal, log-likelihood score = 1.79176, sense = product
feature type = k=5, feature = direct, log-likelihood score = 1.79176, sense = phone
feature type = k=10, feature = standard, log-likelihood score = 1.79176, sense = product
feature type = k=10, feature = bell, log-likelihood score = 1.79176, sense = phone
feature type = k=10, feature = selling, log-likelihood score = 1.79176, sense = product
feature type = k=10, feature = back, log-likelihood score = 1.79176, sense = phone
feature type = k=10, feature = free, log-likelihood score = 1.79176, sense = phone
feature type = k=10, feature = get, log-likelihood score = 1.79176, sense = phone
feature type = k=10, feature = him, log-likelihood score = 1.79176, sense = phone
feature type = k=10, feature = toys, log-likelihood score = 1.79176, sense = product
feature type = k=10, feature = direct, log-likelihood score = 1.79176, sense = phone
feature type = -1, feature = the, log-likelihood score = 1.77307, sense = phone
feature type = k=5, feature = computers, log-likelihood score = 1.70475, sense = product
feature type = k=10, feature = also, log-likelihood score = 1.70475, sense = product
feature type = -1, feature = new, log-likelihood score = 1.60944, sense = product
feature type = -1, feature = food, log-likelihood score = 1.60944, sense = product
feature type = -1, feature = product, log-likelihood score = 1.60944, sense = product
feature type = -1, feature = 000, log-likelihood score = 1.60944, sense = phone
feature type = -1, feature = direct, log-likelihood score = 1.60944, sense = phone
feature type = -2 & -1, feature = introduced a, log-likelihood score = 1.60944, sense = product
feature type = +1 & +2, feature = of computers, log-likelihood score = 1.60944, sense = product
feature type = +1 & +2, feature = of personal, log-likelihood score = 1.60944, sense = product
feature type = +1 & +2, feature = of frozen, log-likelihood score = 1.60944, sense = product
feature type = +1 & +2, feature = to the, log-likelihood score = 1.60944, sense = phone
feature type = -1 & +1, feature = direct to, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = inc, log-likelihood score = 1.60944, sense = product
feature type = k=3, feature = food, log-likelihood score = 1.60944, sense = product
feature type = k=3, feature = or, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = dedicated, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = million, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = free, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = company's, log-likelihood score = 1.60944, sense = product
feature type = k=3, feature = open, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = one, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = product, log-likelihood score = 1.60944, sense = product
feature type = k=3, feature = clogged, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = back, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = about, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = or, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = keep, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = food, log-likelihood score = 1.60944, sense = product
feature type = k=5, feature = dedicated, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = companies, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = free, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = apparel, log-likelihood score = 1.60944, sense = product
feature type = k=5, feature = get, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = off, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = him, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = voice, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = ibm's, log-likelihood score = 1.60944, sense = product
feature type = k=5, feature = product, log-likelihood score = 1.60944, sense = product
feature type = k=5, feature = clogged, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = serves, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = back, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = central, log-likelihood score = 1.60944, sense = phone
feature type = k=5, feature = market, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = kraft, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = callers, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = dedicated, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = operator, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = people, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = auto, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = compaq, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = calls, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = analysts, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = what, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = 8, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = systems, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = no, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = went, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = shoe, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = far, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = much, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = customer, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = plans, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = clogged, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = brands, log-likelihood score = 1.60944, sense = product
feature type = k=10, feature = serves, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = another, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = rochester, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = central, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = atlanta, log-likelihood score = 1.60944, sense = phone
feature type = k=10, feature = fed, log-likelihood score = 1.60944, sense = phone
feature type = k=3, feature = end, log-likelihood score = 1.50408, sense = phone
feature type = k=5, feature = inc, log-likelihood score = 1.50408, sense = product
feature type = k=5, feature = computer, log-likelihood score = 1.50408, sense = product
feature type = k=10, feature = 's, log-likelihood score = 1.50408, sense = product
feature type = k=10, feature = service, log-likelihood score = 1.50408, sense = phone
feature type = k=10, feature = computers, log-likelihood score = 1.46634, sense = product
feature type = k=3, feature = of, log-likelihood score = 1.39937, sense = product
feature type = +1, feature = growth, log-likelihood score = 1.38629, sense = phone
feature type = +1, feature = increased, log-likelihood score = 1.38629, sense = phone
feature type = +1, feature = through, log-likelihood score = 1.38629, sense = product
feature type = +1, feature = grew, log-likelihood score = 1.38629, sense = phone
feature type = +1, feature = went, log-likelihood score = 1.38629, sense = phone
feature type = -1, feature = ibm, log-likelihood score = 1.38629, sense = product
feature type = -1, feature = trading, log-likelihood score = 1.38629, sense = phone
feature type = -1, feature = private, log-likelihood score = 1.38629, sense = phone
feature type = -1, feature = subscriber, log-likelihood score = 1.38629, sense = phone
feature type = -1, feature = products, log-likelihood score = 1.38629, sense = product
feature type = -1, feature = party, log-likelihood score = 1.38629, sense = phone
feature type = -1, feature = its, log-likelihood score = 1.38629, sense = product
feature type = -2 & -1, feature = private telephone, log-likelihood score = 1.38629, sense = phone
feature type = -2 & -1, feature = telephone access, log-likelihood score = 1.38629, sense = phone
feature type = -2 & -1, feature = new ibm, log-likelihood score = 1.38629, sense = product
feature type = -2 & -1, feature = new telephone, log-likelihood score = 1.38629, sense = phone
feature type = -2 & -1, feature = new access, log-likelihood score = 1.38629, sense = phone
feature type = +1 & +2, feature = went dead, log-likelihood score = 1.38629, sense = phone
feature type = +1 & +2, feature = in service, log-likelihood score = 1.38629, sense = phone
feature type = -1 & +1, feature = access in, log-likelihood score = 1.38629, sense = phone
feature type = -1 & +1, feature = the went, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = growth, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = mid, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = computer, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = care, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = keep, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = increased, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = from, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = many, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = got, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = trading, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = chevrolet, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = off, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = call, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = older, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = subscriber, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = old, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = no, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = ibm's, log-likelihood score = 1.38629, sense = product
feature type = k=3, feature = grew, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = customer, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = like, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = went, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = service, log-likelihood score = 1.38629, sense = phone
feature type = k=3, feature = party, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = standard, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = mid, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = busy, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = shedding, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = gm, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = complete, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = equipment, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = many, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = increase, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = made, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = york, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = software, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = popular, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = trading, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = chevrolet, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = you, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = 8, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = older, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = when, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = subscriber, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = old, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = no, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = built, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = also, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = grew, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = much, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = customer, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = brands, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = like, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = went, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = service, log-likelihood score = 1.38629, sense = phone
feature type = k=5, feature = party, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = 000, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = current, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = general, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = $300, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = thousand, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = busy, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = microprocessor, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = shedding, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = non, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = dial, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = complete, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = charge, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = luxury, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = smith, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = ring, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = local, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = communications, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = once, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = 300, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = popular, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = answering, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = chevrolet, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = picked, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = specialty, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = less, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = agreed, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = development, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = building, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = older, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = moment, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = pay, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = subscriber, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = old, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = hullo, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = information, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = state, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = marketing, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = limited, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = label, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = special, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = plant, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = grew, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = asked, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = markets, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = store, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = expected, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = banks, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = like, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = well, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = industry, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = retail, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = sale, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = pacific, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = telesis, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = 12, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = 6, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = heard, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = installed, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = foreign, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = size, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = services, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = party, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = apple, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = bellsouth, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = trucks, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = lower, log-likelihood score = 1.38629, sense = product
feature type = k=10, feature = calling, log-likelihood score = 1.38629, sense = phone
feature type = k=10, feature = likely, log-likelihood score = 1.38629, sense = product
feature type = k=5, feature = said, log-likelihood score = 1.32176, sense = product
feature type = k=10, feature = over, log-likelihood score = 1.29928, sense = phone
feature type = k=5, feature = some, log-likelihood score = 1.25276, sense = product
feature type = k=5, feature = of, log-likelihood score = 1.25276, sense = product
feature type = k=5, feature = which, log-likelihood score = 1.25276, sense = product
feature type = k=5, feature = 's, log-likelihood score = 1.25276, sense = product
feature type = k=10, feature = priced, log-likelihood score = 1.25276, sense = product
feature type = k=10, feature = big, log-likelihood score = 1.25276, sense = product
feature type = k=10, feature = keep, log-likelihood score = 1.25276, sense = phone
feature type = k=10, feature = his, log-likelihood score = 1.25276, sense = phone
feature type = k=10, feature = software, log-likelihood score = 1.25276, sense = product
feature type = k=10, feature = open, log-likelihood score = 1.25276, sense = phone
feature type = k=10, feature = was, log-likelihood score = 1.2164, sense = phone
feature type = k=10, feature = computer, log-likelihood score = 1.17865, sense = product
feature type = k=10, feature = some, log-likelihood score = 1.17865, sense = product
feature type = +1, feature = as, log-likelihood score = 1.09861, sense = product
feature type = +1, feature = could, log-likelihood score = 1.09861, sense = product
feature type = +1, feature = said, log-likelihood score = 1.09861, sense = product
feature type = +1, feature = recently, log-likelihood score = 1.09861, sense = phone
feature type = +1, feature = by, log-likelihood score = 1.09861, sense = product
feature type = +1, feature = while, log-likelihood score = 1.09861, sense = phone
feature type = +1, feature = charges, log-likelihood score = 1.09861, sense = phone
feature type = +1, feature = open, log-likelihood score = 1.09861, sense = phone
feature type = +1, feature = mainly, log-likelihood score = 1.09861, sense = phone
feature type = +1, feature = has, log-likelihood score = 1.09861, sense = product
feature type = +1, feature = like, log-likelihood score = 1.09861, sense = phone
feature type = -1, feature = care, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = tip, log-likelihood score = 1.09861, sense = phone
feature type = -1, feature = microprocessor, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = outside, log-likelihood score = 1.09861, sense = phone
feature type = -1, feature = similar, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = company's, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = whose, log-likelihood score = 1.09861, sense = phone
feature type = -1, feature = older, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = marketing, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = customer, log-likelihood score = 1.09861, sense = phone
feature type = -1, feature = full, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = equipment, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = old, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = information, log-likelihood score = 1.09861, sense = phone
feature type = -1, feature = current, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = some, log-likelihood score = 1.09861, sense = product
feature type = -1, feature = vax, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = skin care, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = thousand access, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = an outside, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = over the, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = a similar, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = launch a, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = off the, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = over telephone, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = its new, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = free telephone, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = new customer, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = ibm's ps/2, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = clogged telephone, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = 570 000, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = the telephone, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = the party, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = its current, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = a direct, log-likelihood score = 1.09861, sense = phone
feature type = -2 & -1, feature = its ps/2, log-likelihood score = 1.09861, sense = product
feature type = -2 & -1, feature = consumer products, log-likelihood score = 1.09861, sense = product
feature type = +1 & +2, feature = he said, log-likelihood score = 1.09861, sense = product
feature type = +1 & +2, feature = were added, log-likelihood score = 1.09861, sense = phone
feature type = +1 & +2, feature = of mid, log-likelihood score = 1.09861, sense = product
feature type = +1 & +2, feature = of shoes, log-likelihood score = 1.09861, sense = product
feature type = +1 & +2, feature = at the, log-likelihood score = 1.09861, sense = phone
feature type = +1 & +2, feature = increased 3, log-likelihood score = 1.09861, sense = phone
feature type = +1 & +2, feature = mainly in, log-likelihood score = 1.09861, sense = phone
feature type = +1 & +2, feature = has been, log-likelihood score = 1.09861, sense = product
feature type = +1 & +2, feature = was still, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = the to, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = telephone that, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = private and, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = subscriber charges, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = access were, log-likelihood score = 1.09861, sense = phone
